net,test case,ground truth,your output,your runtime,your point
net0_fc1,final_img0_0.01950.txt,not verified,not verified,1.279,0
net0_fc1,final_img1_0.01700.txt,verified,verified,1.023,1
net0_fc1,final_img2_0.03600.txt,verified,verified,1.098,1
net0_fc1,final_img3_0.02800.txt,not verified,not verified,1.19,0
net0_fc1,final_img4_0.05700.txt,not verified,not verified,1.199,0
net0_fc1,final_img5_0.01400.txt,verified,verified,0.97,1
net0_fc1,final_img6_0.02400.txt,not verified,not verified,1.207,0
net0_fc1,final_img7_0.02900.txt,verified,verified,1.062,1
net0_fc1,final_img8_0.02100.txt,verified,verified,0.971,1
net0_fc1,final_img9_0.02600.txt,verified,verified,0.944,1
net1_fc1,final_img0_0.06800.txt,verified,verified,1.045,1
net1_fc1,final_img1_0.03800.txt,not verified,not verified,1.076,0
net1_fc1,final_img2_0.09100.txt,verified,verified,1.109,1
net1_fc1,final_img3_0.09700.txt,verified,verified,0.916,1
net1_fc1,final_img4_0.04900.txt,not verified,not verified,1.146,0
net1_fc1,final_img5_0.02950.txt,not verified,not verified,1.308,0
net1_fc1,final_img6_0.07400.txt,verified,verified,0.949,1
net1_fc1,final_img7_0.03400.txt,not verified,not verified,1.217,0
net1_fc1,final_img8_0.08600.txt,verified,verified,1.039,1
net1_fc1,final_img9_0.05200.txt,verified,verified,1.042,1
net0_fc2,final_img0_0.07400.txt,not verified,not verified,2.467,0
net0_fc2,final_img1_0.08700.txt,verified,verified,2.21,1
net0_fc2,final_img2_0.04900.txt,not verified,not verified,2.536,0
net0_fc2,final_img3_0.08400.txt,verified,verified,1.969,1
net0_fc2,final_img4_0.02800.txt,not verified,not verified,1.711,0
net0_fc2,final_img5_0.09100.txt,verified,verified,2.006,1
net0_fc2,final_img6_0.08200.txt,verified,verified,1.747,1
net0_fc2,final_img7_0.07700.txt,verified,verified,1.713,1
net0_fc2,final_img8_0.07900.txt,verified,verified,1.643,1
net0_fc2,final_img9_0.08520.txt,verified,verified,1.7,1
